feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__	k__Archaea.p__Euryarchaeota	k__Bacteria.p__.Thermi.
HEB24001	0.34740297929164	0.645937549729816	0.00273643716572915	0.00066421736513274	0.00076800132843473	0.000204108461160581	0.000172973272169984	0.00209989552414361	1.38378617735987e-05	0	0	0
HEB24002	0.437015723168774	0.556423975946461	0.00410321899281196	0.000552304591941202	0.000603493798023558	0.000161650124470596	0.000169732630694126	0.000951041565635339	1.88591811882362e-05	0	0	0
HEB24003	0.469463330457291	0.525763589301122	0.00140120793787748	0.000562553925798102	0.000669542709232097	0.000234685073339085	0.00017946505608283	0.00170146678170837	2.41587575496117e-05	0	0	0
HEB24004	0.215566985231978	0.776706698397811	0.00376159511694799	0.000877705527287865	0.000802473624948905	0.000178048835535538	0.000185572025769434	0.00190838258933161	1.25386503898266e-05	0	0	0
HEB24005	0.192927734884059	0.801445045953487	0.00105537064018698	0.000818232702817028	0.000865233014728189	0.000260638093325528	0.000235001559555804	0.00235428835118633	2.99092893980115e-05	8.5455112565747e-06	0	0
HEB24006	0.342584704190439	0.653875864056015	0.000963718961667333	0.000553890021783029	0.000615985315704893	0.00020118875230684	0.000223543058118711	0.000941364655855462	2.98057410824948e-05	9.93524702749828e-06	0	0
HEB24011	0.408234787571719	0.589177822948062	0.000706926073155834	0.000372487959226587	0.000478627001371797	0.000176230862429783	0.000208272837417016	0.000630826382561155	6.00787031010624e-06	8.01049374680832e-06	0	0
HEB24013	0.00389322238595947	0.736217909653973	0.000758977540912767	0.128130089858509	0.034407443519883	0.0761235083598329	0.0180187916191152	0.000174509434589432	1.10799641009163e-05	0.00217582795031744	8.86397128073305e-05	0
HEB24016	0.157725402169847	0.836401959979196	0.00114423366455887	0.000715374157108574	0.000748222970445193	0.000197092880019709	0.000279214913361255	0.00276295018842444	1.45994725940525e-05	1.09496044455394e-05	0	0
HEB24019	0.00316310339067981	0.362079644785925	0.000419311285563165	0.0534856773008184	0.277928567451701	0.274417487890429	0.0265905990757753	1.39190468236735e-05	1.21791659707143e-05	0.00174162073381215	8.69940426479595e-05	6.08958298535716e-05
HEB24023	0.0376196990424077	0.957644810074396	0.00129115679403332	0.0011599797612578	0.000948222551205892	0.000211757210051909	0.000284841556883983	0.000788936154264191	3.37312369994191e-05	1.31177032775519e-05	3.74791522215767e-06	0
HEB24024	0.00482567548060486	0.698336401877088	0.000626793325347522	0.139706534098823	0.032296950618816	0.0867203387469705	0.0326008504129238	2.15262354159755e-05	1.13962422790459e-05	0.00401780852793472	0.00071416451615354	0.000121559917643156
HEB24025	0.352618158125407	0.642394427595776	0.00283354504844448	0.000419524039430572	0.000595302268242265	0.00018280935796416	0.000234370971748923	0.000698425495811791	2.34370971748923e-05	0	0	0
HEB24026	0.00403723819317765	0.976376019967857	0.000697634759781098	0.00383828309501785	0.010199678571244	0.00294298515329878	0.000551648226715794	0.00132938179224954	1.16272459963516e-05	1.55029946618022e-05	0	0
HEB24034	0.597619645019473	0.396294662824603	0.00205869381254198	0.000520517587728252	0.00060623156175536	0.000229090076036087	0.000163635768597205	0.00249661429802593	1.09090512398137e-05	0	0	0
HEB24036	0.0878272200312556	0.578449834559168	0.000608949245090527	0.0748271637539557	0.0713783753753624	0.155273399451946	0.0280867016740332	0.0012842768439113	1.15440615183038e-05	0.00193795932738526	0.000187590999672437	0.000126984676701342
HEB24037	0.337633001013721	0.659070409718952	0.000973810873157143	0.000738340211205211	0.000670492732337705	0.000221502063361563	0.000221502063361563	0.000435022070385773	2.59416830963993e-05	9.97757042169204e-06	0	0
HEB24044	0.414112318936502	0.582629552951642	0.00091248766729676	0.000649507662601949	0.000751875718120734	0.000181791546869567	0.000280629669439429	0.000458891283360073	1.58846982701564e-05	7.05986589784727e-06	0	0
HEB24047	0.00371151562942354	0.99150827753955	0.000546944595550035	0.00115762528218043	0.00108054907901348	0.000425401352094472	0.000865625050951817	0.000674416777710748	1.33401120865862e-05	1.63045814391609e-05	0	0
HEB24059	0.450725981694067	0.542623301652802	0.0010453477907768	0.000554226387760925	0.000760003511929586	0.000312781228736364	0.000235957769046731	0.00371770670998046	2.46932549002393e-05	0	0	0
HEB24060	0.348850727773096	0.637453590708048	0.00339534210625524	0.00127933377356035	0.00073330633598564	0.000206736446297776	0.000349019765220363	0.00770032457622069	2.79702250873461e-05	3.64829022878428e-06	0	0
HEB24063	0.0067662233761932	0.935487145377638	0.000634416917428301	0.00890187106244132	0.0227615433827644	0.0230860977215751	0.00214900383187818	8.54793320324448e-05	1.20205310670625e-05	0.000102842321351535	9.34930194104864e-06	4.00684368902085e-06
HEB24066	0.357739282153539	0.635973727752911	0.00150744574786279	0.00100761545151779	0.000601917651301415	0.000169703654992469	0.000334104070766424	0.00264764217984345	1.32580980462867e-05	5.30323921851467e-06	0	0
HEB24075	0.0106091064359531	0.599805433302509	0.00122291215231165	0.126156442067628	0.104411964752649	0.140519476593599	0.0149621240747433	7.28251056994577e-05	9.61841018672082e-06	0.00209269124491083	8.24435158861785e-05	5.4962343924119e-05
HEB24076	0.0115736511996103	0.606252283522104	0.000634628851540616	0.135794399281452	0.0622630845816588	0.158501172208014	0.0216354204725368	7.04085982218975e-05	3.7107234198027e-05	0.00300854037267081	0.000148428936792108	8.08747412008282e-05
HEB24077	0.0126425390300005	0.63041158909607	0.000633778691332648	0.153797778104047	0.0522341310624969	0.124793226643175	0.0225737777125239	0.000157832917339598	1.1011598884158e-05	0.00237605833700387	0.000297313169872265	7.09636372534625e-05
HEB24078	0.0056294149106431	0.578813796887768	0.000446337152547899	0.190123721875292	0.0625130471606396	0.139898366346378	0.0199300970410531	3.18102202261309e-05	1.09347632027325e-05	0.00250008449589748	7.15729955087945e-05	3.08161508440643e-05
HEB24079	0.0051412768332943	0.667082674298107	0.000482846903844488	0.222911647037309	0.0191759198955382	0.0579047331829717	0.0242722807377772	3.36869932914759e-05	0	0.00292756013128303	6.73739865829518e-05	0
HEB24080	0.0129061936123412	0.582217053409743	0.000524800041465682	0.182517031705049	0.0529821276430323	0.147747409204734	0.0178593989419772	0	9.71851928640152e-06	0.0032038718580837	3.23950642880051e-05	0
HEB24081	0.0367470965416012	0.959244790286006	0.000860396176084319	0.00085888139408417	0.000584705852057301	0.000160566892015736	0.000268116414026275	0.00125575427812306	1.66626020016329e-05	3.0295640002969e-06	0	0
HEB24085	0.400791212233149	0.596330259612258	0.000777934575191547	0.000575365178150422	0.000485145194594291	0.000166821856386809	0.000163417328705445	0.000694523646998143	1.02135830440903e-05	5.10679152204517e-06	0	0
HEB24092	0.0138345788227901	0.964229481191742	0.00170737370575182	0.00203313783634858	0.00758499035992316	0.00820186286254255	0.00188642845838479	0.000477094276370433	1.0396727572237e-05	3.11901827167111e-05	3.46557585741235e-06	0
