feature	k__Bacteria	Unassigned	k__Archaea
HEB24009	720402	74	0
HEB24012	533215	11	0
HEB24020	501529	0	0
HEB24027	598232	0	0
HEB24028	542758	0	0
HEB24029	526979	0	0
HEB24030	423974	0	0
HEB24031	640040	0	0
HEB24032	541001	0	0
HEB24033	474484	0	0
HEB24035	577955	6	2
HEB24041	485600	0	0
HEB24045	471071	4	0
HEB24046	593189	1895	21
HEB24055	442983	0	0
HEB24056	663578	0	0
HEB24057	564934	5	0
HEB24064	921082	3975	444
HEB24068	632392	6	0
HEB24071	464195	0	0
HEB24072	561238	285	71
HEB24073	754843	781	602
HEB24074	868730	2352	123
HEB24082	684723	26	0
HEB24084	512899	4	0
HEB24089	437884	3	0
HEB24091	1477559	895	60
HEB24093	380035	2	0
HEB24101	763819	1713	141
HEB24102	667627	1022	48
HEB24103	553773	1093	50
HEB24104	706872	1538	0
HEB24105	442325	0	0
HEB24114	589260	44	0
HEB24115	829424	1482	174
HEB24117	649322	42	0
HEB24127	466835	0	2
HEB24128	804354	1497	1691
HEB24129	565466	3	0
HEB24130	751365	0	0
HEB24131	561760	0	0
HEB24132	668601	4	0
HEB24145	2017548	3494	303
HEB24146	2785800	5835	1226
HEB24147	1947215	2456	1269
HEB24148	2344276	3422	1035
HEB24149	1818067	7947	385
HEB24150	1891217	5015	830
HEB24163	1160712	3	0
HEB24164	1265441	5	0
HEB24165	963531	8	0
HEB24166	1145578	10	0
HEB24167	1105353	7	0
HEB24168	971678	6	0
HEB24181	1680200	3140	109
HEB24182	1667024	1969	644
HEB24183	1609862	4882	223
HEB24184	1767444	4259	1194
HEB24185	914716	2938	397
HEB24186	1552818	802	115
