feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24001	0.34740297929164	0.645937549729816	0.00273643716572915	0.00066421736513274	0.00076800132843473	0.000204108461160581	0.000172973272169984	0.00209989552414361	1.38378617735987e-05	0
HEB24002	0.437015723168774	0.556423975946461	0.00410321899281196	0.000552304591941202	0.000603493798023558	0.000161650124470596	0.000169732630694126	0.000951041565635339	1.88591811882362e-05	0
HEB24003	0.469463330457291	0.525763589301122	0.00140120793787748	0.000562553925798102	0.000669542709232097	0.000234685073339085	0.00017946505608283	0.00170146678170837	2.41587575496117e-05	0
HEB24004	0.215566985231978	0.776706698397811	0.00376159511694799	0.000877705527287865	0.000802473624948905	0.000178048835535538	0.000185572025769434	0.00190838258933161	1.25386503898266e-05	0
HEB24005	0.192927734884059	0.801445045953487	0.00105537064018698	0.000818232702817028	0.000865233014728189	0.000260638093325528	0.000235001559555804	0.00235428835118633	2.99092893980115e-05	8.5455112565747e-06
HEB24006	0.342584704190439	0.653875864056015	0.000963718961667333	0.000553890021783029	0.000615985315704893	0.00020118875230684	0.000223543058118711	0.000941364655855462	2.98057410824948e-05	9.93524702749828e-06
HEB24023	0.0376198400383788	0.957648399259409	0.00129116163319766	0.0011599841087799	0.000948226105076945	0.000211758003702954	0.000284842624449991	0.000788939111141095	3.37313634217095e-05	1.31177524417759e-05
HEB24025	0.352618158125407	0.642394427595776	0.00283354504844448	0.000419524039430572	0.000595302268242265	0.00018280935796416	0.000234370971748923	0.000698425495811791	2.34370971748923e-05	0
HEB24037	0.337633001013721	0.659070409718952	0.000973810873157143	0.000738340211205211	0.000670492732337705	0.000221502063361563	0.000221502063361563	0.000435022070385773	2.59416830963993e-05	9.97757042169204e-06
HEB24044	0.414112318936502	0.582629552951642	0.00091248766729676	0.000649507662601949	0.000751875718120734	0.000181791546869567	0.000280629669439429	0.000458891283360073	1.58846982701564e-05	7.05986589784727e-06
HEB24106	0.357194208520029	0.636838761452551	0.00322008961412426	0.000959673644084799	0.000717247375108674	0.000188925299271049	0.000331037250050157	0.000531665886444192	1.83909583361198e-05	0
HEB24122	0.299470448989596	0.696722717802847	0.000759818623941382	0.000575346530183118	0.000681127730799745	0.000162541844849939	0.000252842869766572	0.00135709540303282	1.16101317749956e-05	6.45007320833091e-06
HEB24133	0.348789627294547	0.646609127962283	0.00140259271346142	0.000671207734164705	0.000634175583314239	0.000247652508812495	0.000212934867390182	0.00141416526060219	1.85160754252332e-05	0
HEB24134	0.456223427528874	0.536051052166662	0.00353501580933039	0.000427636195523854	0.000556422385681617	0.00015850608019417	0.000135390610165853	0.00289603817354765	1.6511050020226e-05	0
HEB24135	0.44839162534978	0.546748864693434	0.00139628024879175	0.000530472821793339	0.000765396500016104	0.000179981850251312	0.000255763681936074	0.00170698575869928	2.46290952975479e-05	0
HEB24136	0.407033803737241	0.58081755893991	0.00806699822750166	0.000973848152292805	0.000602933539993276	0.00017993304596658	0.000266742848845193	0.00204239790772591	1.10485203663689e-05	4.73508015701526e-06
HEB24137	0.296332759045041	0.699939457198755	0.000891075056904844	0.000713219349982304	0.000713219349982304	0.00021737919734977	0.000235344420271239	0.000928802025039928	2.33547897979092e-05	5.38956687644059e-06
HEB24138	0.413043842531872	0.583630760606462	0.000796693796908584	0.000574289792417851	0.0005255437092418	0.000166041345818424	0.00024830036117801	0.000999294705109046	1.5233150992516e-05	0
HEB24169	0.404648888875579	0.591363611180572	0.00102644807041239	0.000792858137539549	0.000592959060369521	0.00016545953578493	0.000227600447414564	0.00115746806481222	2.17118847862577e-05	2.994742729139e-06
HEB24170	0.238736910523742	0.755438536872386	0.000943058134970836	0.000630684039909686	0.000763498678902432	0.000202560873994523	0.000307922207720611	0.00294492347576652	2.44853803729643e-05	7.4198122342316e-06
HEB24171	0.390327695820698	0.605357690173659	0.00118164051913341	0.000763779318038694	0.000645516713955283	0.000180350471227201	0.000248351468575162	0.00127230851559736	1.57683472111214e-05	6.89865190486562e-06
HEB24172	0.107643848419122	0.88172438825113	0.00144377435680403	0.00285595466915892	0.000941208626496676	0.000231444744220494	0.000304184520975507	0.00481845915110476	2.71855731306612e-05	9.5516878567188e-06
HEB24173	0.370073215521499	0.626145341041128	0.000854260996312853	0.000532214989283779	0.000680052486307051	0.000164619050739427	0.000207771617438112	0.0013217471355486	1.35850672940304e-05	7.1920944497808e-06
HEB24174	0.223190063877549	0.77286567580127	0.000751382924606357	0.000443362595264621	0.000502699844856427	0.000152010032662156	0.000192012672836407	0.00188079079885939	1.8667898747984e-05	3.33355334785429e-06
