feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales	k__Bacteria.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales	k__Bacteria.p__Firmicutes.c__Clostridia.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32	k__Bacteria.p__Firmicutes.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales	Unassigned.__.__.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales	k__Bacteria.p__Bacteroidetes.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales
HEB24001	0.34740297929164	0.258505095792598	0.00704001217731836	0.0961904366537283	0.00273643716572915	0.00066421736513274	0.2827455701545	0.000460108903972158	0.000204108461160581	0.000172973272169984	0.000999785513142509	0.000408216922321163	6.91893088679937e-05	5.88109125377947e-05	0.00209989552414361	7.61082397547931e-05	3.11351889905972e-05	4.84325162075956e-05	2.76757235471975e-05	1.38378617735987e-05	0	0	0	0	3.80541198773965e-05	0	6.91893088679937e-06	0
HEB24002	0.437015723168774	0.0101004386106711	0.0048926104339767	0.424132208248467	0.00410321899281196	0.000552304591941202	0.116134837757158	0.000398736973694136	0.000161650124470596	9.96842434235341e-05	0.000961818240600045	0.000140096774541183	4.84950373411788e-05	3.23300248941192e-05	0.000951041565635339	7.54367247529447e-05	4.0412531117649e-05	6.19658810470617e-05	1.61650124470596e-05	1.88591811882362e-05	0	0	0	0	6.19658810470617e-05	0	0	0
HEB24003	0.469463330457291	0.0122450388265746	0.00592234685073339	0.118091458153581	0.00140120793787748	0.000562553925798102	0.387202761000863	0.000486626402070751	0.000234685073339085	8.9732528041415e-05	0.000790336496980155	0.00149439171699741	2.76100086281277e-05	4.83175150992235e-05	0.00170146678170837	4.48662640207075e-05	2.07075064710958e-05	1.72562553925798e-05	4.48662640207075e-05	2.41587575496117e-05	0	0	0	0	8.6281276962899e-05	0	0	0
HEB24004	0.215566985231978	0.0247738654402195	0.0070592601694724	0.514037019111411	0.00376159511694799	0.000877705527287865	0.224890725661853	0.000561731537464233	0.000178048835535538	0.000147956074599954	0.00389701254115812	0.0019961531420604	3.51082210915146e-05	5.26623316372719e-05	0.00190838258933161	7.02164421830292e-05	3.00927609355839e-05	5.26623316372719e-05	1.75541105457573e-05	1.25386503898266e-05	0	0	0	0	6.26932519491332e-05	1.00309203118613e-05	0	0
HEB24005	0.192916153042542	0.0170313130903117	0.00759487180582765	0.26433999388992	0.00105537740424159	0.000818237947013218	0.510736435516227	0.000546916225679853	0.000260639763800555	0.00018800245257745	0.00151897436116553	0.000198684410110259	5.55461791706101e-05	0.00012177431587403	0.00235430344023124	8.11828772493532e-05	2.13639150656193e-05	2.9909481091867e-05	3.63186556115528e-05	2.9909481091867e-05	8.54556602624771e-06	0	1.28183490393716e-05	0	3.20458725984289e-05	1.06819575328096e-05	0	0
HEB24006	0.342584704190439	0.0249225671684794	0.00593382628717335	0.230346218520791	0.000963718961667333	0.000553890021783029	0.391264930813424	0.000484343292590541	0.00020118875230684	5.71276704081151e-05	0.00122700300789604	0.000131642023114352	3.4773364596244e-05	4.47086116237423e-05	0.000941364655855462	6.70629174356134e-05	2.98057410824948e-05	4.96762351374914e-05	0	2.98057410824948e-05	9.93524702749828e-06	0	0	1.98704940549966e-05	9.19010350043591e-05	9.93524702749828e-06	0	0
HEB24016	0.157726265689957	0.297613703139999	0.00672491888123629	0.268702939254912	0.00114423992904617	0.000715378073662042	0.261925096995777	0.000476310401086207	0.000197093959070155	0.000162420021826331	0.00121541274759929	0.000180669462480975	5.47483219639318e-05	8.75973151422909e-05	0.00276296531511309	7.11728185531113e-05	3.28489931783591e-05	4.37986575711454e-05	7.29977626185757e-06	1.45995525237151e-05	1.09496643927864e-05	0	0	0	0.00012044630832065	9.12472032732197e-06	0	0
HEB24023	0.0376198400383788	0.144688809432788	0.00865209471766849	0.0340574332681194	0.00129116163319766	0.0011599841087799	0.76627350888634	0.000669005374530572	0.000211758003702954	0.000140547347590456	0.0035324233361068	0.00038416275008058	6.18408329398008e-05	0.00012742959514868	0.000788939111141095	8.43284085542738e-05	2.81094695180913e-05	5.99668683052613e-05	2.62355048835518e-05	3.37313634217095e-05	1.31177524417759e-05	0	0	0	7.30846207470373e-05	2.2487575614473e-05	0	0
HEB24025	0.35260643957682	0.154216099410791	0.00641004607733305	0.331841171479865	0.00283354504844448	0.000419524039430572	0.148827910770284	0.000414836619995594	0.00018280935796416	0.000100779517852037	0.000923421628690757	0.000145310002484332	2.81245166098708e-05	0.000103123227569526	0.000698425495811791	7.96861303946338e-05	2.81245166098708e-05	3.046822632736e-05	1.40622583049354e-05	2.34370971748923e-05	0	9.37483886995692e-06	1.17185485874462e-05	7.03112915246769e-06	4.45304846322954e-05	0	0	0
HEB24034	0.597619645019473	0.0479920332757232	0.00461608711033259	0.121910206040809	0.00205869381254198	0.000520517587728252	0.220754002452978	0.000317920921845998	0.000229090076036087	0.000194804486425244	0.000819737278877427	0.000179220127511225	5.45452561990684e-05	6.07789997646762e-05	0.00249661429802593	4.36362049592547e-05	1.40259230226176e-05	2.33765383710293e-05	2.18181024796273e-05	1.09090512398137e-05	0	3.11687178280391e-06	0	0	5.92205638732742e-05	0	0	0
