feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24007	150220	250275	691	340	292	82	100	658	15	5
HEB24008	195651	290723	314	231	264	75	70	988	0	3
HEB24017	91987	443925	455	405	360	96	110	669	12	4
HEB24040	98010	1054381	1194	972	739	206	308	1060	18	5
HEB24042	278922	267841	1349	406	357	126	107	726	12	0
HEB24058	151712	371954	507	352	350	113	97	3037	7	3
HEB24088	152111	267685	575	353	256	86	105	934	6	0
HEB24090	94824	392369	14390	372	269	65	140	558	5	4
HEB24097	206924	278133	4535	217	284	97	83	280	0	0
HEB24098	78799	313292	740	681	372	78	116	847	11	0
HEB24099	396886	347815	71341	599	404	126	203	2034	12	3
HEB24100	208611	270501	489	372	370	84	100	963	15	4
HEB24139	277804	320995	1156	443	320	88	113	644	7	3
HEB24140	297093	420398	402	220	332	102	136	268	9	0
HEB24141	189568	271953	5276	294	366	86	78	469	9	3
HEB24142	161932	361729	2756	500	348	107	177	600	12	0
HEB24143	148014	195116	15124	188	253	74	85	624	3	0
HEB24144	159045	226468	314	230	223	63	82	643	9	0
HEB24175	446122	712095	1808	860	802	213	257	2864	20	0
HEB24176	346452	543460	815	588	606	198	275	1728	13	6
HEB24177	292148	725622	6938	1197	900	280	304	786	30	0
HEB24178	736053	599056	3875	1690	1106	340	405	11792	28	18
HEB24179	645129	837332	32931	968	953	282	389	653	31	9
HEB24180	398311	819330	1096	877	823	241	367	2493	30	11
