feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24001	100421	186716	791	192	222	59	50	607	4	0
HEB24002	162208	206529	1523	205	224	60	63	353	7	0
HEB24003	136027	152340	406	163	194	68	52	493	7	0
HEB24004	85961	309725	1500	350	320	71	74	761	5	0
HEB24005	90306	375142	494	383	405	122	110	1102	14	4
HEB24006	137927	263255	388	223	248	81	90	379	12	4
HEB24007	150220	250275	691	340	292	82	100	658	15	5
HEB24008	195651	290723	314	231	264	75	70	988	0	3
HEB24010	63319	495782	541	370	404	115	130	1386	11	0
HEB24016	86428	458319	627	392	410	108	153	1514	8	6
HEB24020	191209	307912	450	272	351	92	141	1090	12	0
HEB24027	360478	235747	441	251	302	97	100	806	10	0
HEB24028	261473	278778	508	193	314	97	90	1294	11	0
HEB24029	168220	346258	7438	247	284	91	97	4333	11	0
HEB24030	167338	255453	336	192	256	70	81	241	7	0
HEB24031	287765	350530	480	377	328	116	137	294	13	0
HEB24032	118265	420105	427	392	376	122	131	1172	11	0
HEB24033	171575	300867	708	248	363	90	85	541	7	0
HEB24034	383474	254290	1321	334	389	147	105	1602	7	0
HEB24055	131217	310042	494	211	393	101	117	398	10	0
HEB24056	189312	471538	802	305	553	165	188	697	18	0
HEB24059	164277	197771	381	202	277	114	86	1355	9	0
HEB24065	178689	522648	1204	459	577	162	170	963	25	0
HEB24067	267760	337982	574	465	416	119	162	2668	11	0
HEB24071	107687	354221	536	509	470	125	130	503	14	0
HEB24081	24259	633256	568	567	386	106	177	829	11	2
HEB24084	253177	256623	621	282	370	128	110	1581	7	4
HEB24093	57672	321121	350	179	286	86	82	246	13	2
HEB24097	206924	278133	4535	217	284	97	83	280	0	0
HEB24098	78799	313292	740	681	372	78	116	847	11	0
HEB24099	396886	347815	71341	599	404	126	203	2034	12	3
HEB24100	208611	270501	489	372	370	84	100	963	15	4
HEB24105	16951	423527	429	348	410	101	107	442	10	0
HEB24110	61425	519771	688	787	584	119	155	166	13	2
HEB24111	267838	229744	824	409	348	68	121	602	9	0
HEB24113	64562	292792	437	308	341	77	110	183	9	0
HEB24120	266635	224030	10283	375	294	118	133	584	7	2
HEB24123	32957	1208228	1591	2084	1376	331	423	1454	33	10
HEB24129	222711	339836	1674	243	308	104	161	420	9	3
HEB24130	375998	372564	534	443	445	133	185	1050	13	0
HEB24131	303527	256654	388	394	301	100	116	274	6	0
HEB24132	272419	394318	524	385	396	102	140	306	11	4
HEB24133	150697	279372	606	290	274	107	92	611	8	0
HEB24134	276314	324662	2141	259	337	96	82	1754	10	0
HEB24135	236675	288591	737	280	404	95	135	901	13	0
HEB24136	257884	367988	5111	617	382	114	169	1294	7	3
HEB24137	164948	389608	496	397	397	121	131	517	13	3
HEB24138	271148	383132	523	377	345	109	163	656	10	0
HEB24139	277804	320995	1156	443	320	88	113	644	7	3
HEB24140	297093	420398	402	220	332	102	136	268	9	0
HEB24141	189568	271953	5276	294	366	86	78	469	9	3
HEB24142	161932	361729	2756	500	348	107	177	600	12	0
HEB24143	148014	195116	15124	188	253	74	85	624	3	0
HEB24144	159045	226468	314	230	223	63	82	643	9	0
HEB24163	601893	554257	990	663	679	198	254	1758	20	3
HEB24164	528415	732256	989	613	725	249	247	1930	17	5
HEB24165	498892	458217	1140	567	685	181	212	3620	17	8
HEB24166	82114	1059181	1032	777	847	229	274	1098	26	10
HEB24167	302887	797962	1134	933	871	204	288	1052	22	7
HEB24168	152589	814692	1152	770	914	249	261	1025	26	6
HEB24169	540479	789869	1371	1059	792	221	304	1546	29	4
HEB24170	321756	1018137	1271	850	1029	273	415	3969	33	10
HEB24171	396062	614251	1199	775	655	183	252	1291	16	7
HEB24172	146505	1200041	1965	3887	1281	315	414	6558	37	13
HEB24173	463100	783542	1069	666	851	206	260	1654	17	9
HEB24174	334763	1159222	1127	665	754	228	288	2821	28	5
HEB24175	446122	712095	1808	860	802	213	257	2864	20	0
HEB24176	346452	543460	815	588	606	198	275	1728	13	6
HEB24177	292148	725622	6938	1197	900	280	304	786	30	0
HEB24178	736053	599056	3875	1690	1106	340	405	11792	28	18
HEB24179	645129	837332	32931	968	953	282	389	653	31	9
HEB24180	398311	819330	1096	877	823	241	367	2493	30	11
