feature	k__Bacteria.p__Bacteroidetes	k__Bacteria.p__Firmicutes	k__Bacteria.p__Verrucomicrobia	k__Bacteria.__	k__Bacteria.p__Proteobacteria	k__Bacteria.p__Cyanobacteria	k__Bacteria.p__Actinobacteria	k__Bacteria.p__Tenericutes	k__Bacteria.p__Deferribacteres	Unassigned.__
HEB24001	100421	186716	791	192	222	59	50	607	4	0
HEB24002	162208	206529	1523	205	224	60	63	353	7	0
HEB24003	136027	152340	406	163	194	68	52	493	7	0
HEB24004	85961	309725	1500	350	320	71	74	761	5	0
HEB24005	90306	375142	494	383	405	122	110	1102	14	4
HEB24006	137927	263255	388	223	248	81	90	379	12	4
HEB24016	86428	458319	627	392	410	108	153	1514	8	6
HEB24023	20075	511028	689	619	506	113	152	421	18	7
HEB24025	150453	274093	1209	179	254	78	100	298	10	0
HEB24034	383474	254290	1321	334	389	147	105	1602	7	0
HEB24037	169196	330276	488	370	336	111	111	218	13	5
HEB24044	234629	330108	517	368	426	103	159	260	9	4
HEB24059	164277	197771	381	202	277	114	86	1355	9	0
HEB24081	24259	633256	568	567	386	106	177	829	11	2
HEB24106	213645	380906	1926	574	429	113	198	318	11	0
HEB24110	61425	519771	688	787	584	119	155	166	13	2
HEB24113	64562	292792	437	308	341	77	110	183	9	0
HEB24122	232145	540089	589	446	528	126	196	1052	9	5
HEB24133	150697	279372	606	290	274	107	92	611	8	0
HEB24134	276314	324662	2141	259	337	96	82	1754	10	0
HEB24135	236675	288591	737	280	404	95	135	901	13	0
HEB24136	257884	367988	5111	617	382	114	169	1294	7	3
HEB24137	164948	389608	496	397	397	121	131	517	13	3
HEB24138	271148	383132	523	377	345	109	163	656	10	0
