feature	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__S24.7	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Exiguobacteraceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Bacillaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Turicibacterales.f__Turicibacteraceae	k__Bacteria.p__Verrucomicrobia.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Verrucomicrobiaceae	k__Bacteria.__.__.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Leuconostocaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacteriales.f__Enterobacteriaceae	k__Bacteria.p__Cyanobacteria.c__Chloroplast.o__Streptophyta.f__	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rickettsiales.f__mitochondria	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	k__Bacteria.p__Firmicutes.c__Erysipelotrichi.o__Erysipelotrichales.f__Erysipelotrichaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Ruminococcaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Lachnospiraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Porphyromonadaceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.__	k__Bacteria.p__Firmicutes.c__Clostridia.__.__	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Eubacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptococcaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Moraxellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__	k__Bacteria.p__Tenericutes.c__Mollicutes.o__RF39.f__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Peptostreptococcaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__RF32.f__	k__Bacteria.p__Firmicutes.__.__.__	k__Bacteria.p__Proteobacteria.c__Betaproteobacteria.o__Burkholderiales.f__Alcaligenaceae	k__Bacteria.p__Deferribacteres.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Streptomycetaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Brevibacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Corynebacteriaceae	Unassigned.__.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.f__Dermabacteraceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.__	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Xanthomonadales.f__Xanthomonadaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Dehalobacteriaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__.Mogibacteriaceae.	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Staphylococcaceae	k__Bacteria.p__Bacteroidetes.__.__.__	k__Bacteria.p__Actinobacteria.c__Actinobacteria.__.__	k__Bacteria.p__Bacteroidetes.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	k__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Veillonellaceae	k__Bacteria.p__Actinobacteria.c__Coriobacteriia.o__Coriobacteriales.f__Coriobacteriaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Methylobacteriaceae	k__Bacteria.p__Actinobacteria.c__Actinobacteria.o__Actinomycetales.__	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__Paenibacillaceae	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhizobiales.f__Rhizobiaceae	k__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae	k__Bacteria.p__Firmicutes.c__Bacilli.o__Bacillales.f__.Thermicanaceae.	k__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodobacterales.f__Rhodobacteraceae
HEB24001	0.346320166607856	0.255796334350416	0.00512000885623154	0.00164324608561485	0.00190616545931323	0.0961904366537283	0.00273643716572915	0.00066421736513274	0.0530681999017512	0.0291494558260858	0.0010655153565671	0.119943126388111	0.000460108903972158	0.000204108461160581	0.000172973272169984	0.000719568812227135	0.000999785513142509	0.0344874110052515	0.0247386373857512	0.000249081511924777	0.000100324497858591	0.000408216922321163	0.020348575738077	6.5729843424594e-05	6.91893088679937e-05	4.84325162075956e-05	0.00209989552414361	7.61082397547931e-05	0	3.11351889905972e-05	4.84325162075956e-05	2.76757235471975e-05	1.38378617735987e-05	1.38378617735987e-05	1.03783963301991e-05	0	0	0	0	1.38378617735987e-05	0	0.000179892203056784	0.000764541862991331	0	0	0	0	0	3.80541198773965e-05	0	0	0	0	6.91893088679937e-06	0	0
HEB24002	0.436220943390126	0.00856206825945923	0.00315217742717662	0.0010480316403177	0.00171349131938832	0.424132208248467	0.00410321899281196	0.000552304591941202	0.0123096569784359	0.0156019311801537	0.000490338710894141	0.045905941180908	0.000398736973694136	0.000161650124470596	9.96842434235341e-05	0.000490338710894141	0.000961818240600045	0.0219574752405893	0.0151708641815654	0.000188591811882362	0.000115849255870594	0.000140096774541183	0.00449387346028256	5.65775435647085e-05	4.84950373411788e-05	0	0.000951041565635339	7.54367247529447e-05	2.15533499294128e-05	4.0412531117649e-05	6.19658810470617e-05	1.61650124470596e-05	1.88591811882362e-05	0	1.61650124470596e-05	1.61650124470596e-05	0	0	0	8.08250622352979e-06	0	7.81308934941213e-05	0.00053883374823532	1.88591811882362e-05	0	0	0	0	6.19658810470617e-05	0	0	0	0	0	0	0
HEB24003	0.468531275453152	0.0104297527506661	0.0041139196819305	0.00127006916354902	0.00180846804809697	0.118092273285752	0.00140121760978505	0.000562557808854591	0.0670444662258238	0.0387509145878488	0.000545301434349849	0.154410039068432	0.000486629761033726	0.000234686693264492	8.97331474246587e-05	0.000548752709250797	0.000790341952317186	0.0570116100887668	0.055054737219929	0.00028300454187777	0.000103538247028452	0.00149440203211066	0.0138050996037936	8.62818725237103e-05	2.76101992075873e-05	0	0.00170147852616757	4.48665737123293e-05	0	2.07076494056905e-05	1.72563745047421e-05	4.48665737123293e-05	2.41589243066389e-05	0	0	0	0	0	3.10614741085357e-05	0	0	0.000317517290887254	0.000700608804892527	0	0	0	0	2.41589243066389e-05	8.62818725237103e-05	0	1.03538247028452e-05	0	0	0	0	0
HEB24004	0.214624078722663	0.0225319547505185	0.00464682383446975	0.00141435976397245	0.00241243633500265	0.514037019111411	0.00376159511694799	0.000877705527287865	0.0167240518899508	0.0229056065321353	0.000827550925728558	0.0846760138125773	0.000561731537464233	0.000178048835535538	0.000147956074599954	0.000614393869101505	0.00389701254115812	0.0626430973475739	0.0228429132801862	0.000218172516782984	8.77705527287865e-05	0.0019961531420604	0.0142739996037786	7.02164421830292e-05	3.51082210915146e-05	4.26314113254106e-05	0.00190838258933161	7.02164421830292e-05	5.26623316372719e-05	3.00927609355839e-05	5.26623316372719e-05	1.75541105457573e-05	1.25386503898266e-05	2.2569570701688e-05	0	0	1.00309203118613e-05	0	0	0	0	0.000152971534755885	0.000529131046450684	0	0	0	0	2.00618406237226e-05	6.26932519491332e-05	0	0	0	1.00309203118613e-05	0	0	0
HEB24005	0.191961186039109	0.0144142334947733	0.00535593350695075	0.00160656641293457	0.00222611994983753	0.26433999388992	0.00105537740424159	0.000818237947013218	0.0688858077375828	0.0366177504224714	0.00101051318260379	0.259644205358497	0.000546916225679853	0.000260639763800555	0.00018800245257745	0.00063237188594233	0.00151897436116553	0.0881752866503304	0.0527560518630402	0.000209366367643069	8.97284432756009e-05	0.000198684410110259	0.00371945761292431	8.54556602624771e-05	5.55461791706101e-05	4.27278301312385e-05	0.00235430344023124	8.11828772493532e-05	4.70006131443624e-05	2.13639150656193e-05	2.9909481091867e-05	3.63186556115528e-05	2.9909481091867e-05	1.28183490393716e-05	8.54556602624771e-06	1.70911320524954e-05	2.9909481091867e-05	8.54556602624771e-06	2.35003065721812e-05	1.28183490393716e-05	0	0.00034395903255647	0.000446505824871443	0	1.28183490393716e-05	0	1.06819575328096e-05	1.49547405459335e-05	3.20458725984289e-05	1.06819575328096e-05	0	0	0	0	0	0
HEB24006	0.341578760428905	0.022851068163246	0.0041703199397924	0.00135616121925352	0.00175357110035345	0.230346218520791	0.000963718961667333	0.000553890021783029	0.186914286140082	0.0261172806235361	0.000715337785979876	0.101662415208876	0.000484343292590541	0.00020118875230684	5.71276704081151e-05	0.000611017692191144	0.00122700300789604	0.0328459266729093	0.0352154830889677	0.000253348799201206	0.000119222964329979	0.000131642023114352	0.00755078774089869	9.19010350043591e-05	3.4773364596244e-05	0	0.000941364655855462	6.70629174356134e-05	4.71924233806168e-05	2.98057410824948e-05	4.96762351374914e-05	0	2.98057410824948e-05	9.93524702749828e-06	1.7386682298122e-05	9.93524702749828e-06	1.7386682298122e-05	9.93524702749828e-06	0	0	0	0.000193737317036216	0.00060853388043427	0	0	1.98704940549966e-05	1.24190587843728e-05	1.7386682298122e-05	9.19010350043591e-05	9.93524702749828e-06	0	0	0	0	9.93524702749828e-06	0
HEB24016	0.156906258839847	0.29533256074971	0.00479975179990693	0.00145817554681583	0.00189435071038152	0.268711275766728	0.00114427542910329	0.000715400268275101	0.00260245097591912	0.0356075883528456	0.000832200312075117	0.143103778663917	0.000476325178621942	0.000197100073912528	0.000162425060909398	0.000551150206681327	0.00121545045579392	0.0350619131482174	0.0386261394848023	0.000184325069121901	7.66500287437608e-05	0.00018067506775315	0.00519577694841636	7.48250280593855e-05	5.47500205312577e-05	6.93500260062597e-05	0.00276305103614414	7.1175026690635e-05	2.55500095812536e-05	3.28500123187546e-05	4.38000164250062e-05	7.30000273750103e-06	1.46000054750021e-05	1.27750047906268e-05	1.09500041062515e-05	7.30000273750103e-06	0	1.09500041062515e-05	0	0	0	0.000271925101971913	0.00133590050096269	0	0	0	0	2.73750102656288e-05	0.000120450045168767	0	0	0	9.12500342187628e-06	0	0	0
HEB24023	0.0365110003373187	0.141538922828979	0.00651399872568494	0.00201641617630524	0.00210824182002174	0.0340579438551778	0.00129118099021776	0.00116000149919418	0.00554889247029721	0.0630692252914059	0.00113563959371838	0.479670926876804	0.000669015404220232	0.000211761178366628	0.000140549454668116	0.000734605149732019	0.00353247629399198	0.116487388028934	0.0979142460927252	0.000217383156553353	0.000140549454668116	0.000384168509426183	0.00263670776957385	0.000108691578276676	6.1841760053971e-05	6.1841760053971e-05	0.000788950938870357	8.43296728008695e-05	5.80937745961546e-05	2.81098909336232e-05	5.99677673250628e-05	2.6235898204715e-05	3.37318691203478e-05	1.68659345601739e-05	1.49919418312657e-05	1.68659345601739e-05	1.87399272890821e-05	1.31179491023575e-05	0	1.49919418312657e-05	0	0.000432892320377797	0.000333570705745662	9.36996364454106e-06	0	0	0	2.43619054758068e-05	7.30857164274203e-05	0	0	5.62197818672464e-06	2.24879127468985e-05	0	0	0
HEB24025	0.351725204723044	0.152027074534656	0.00438039346198737	0.00134060195840384	0.00201324664732325	0.331841171479865	0.00283354504844448	0.000419524039430572	0.0412539784472454	0.016537215766604	0.000848422917731101	0.0504061648940409	0.000414836619995594	0.00018280935796416	0.000100779517852037	0.000604677107112222	0.000923421628690757	0.0215105677871162	0.0149013063837965	0.000178121938529182	8.20298401121231e-05	0.000145310002484332	0.00348509634990649	0.000119529195591951	2.81245166098708e-05	5.39053235022523e-05	0.000698425495811791	7.96861303946338e-05	2.81245166098708e-05	2.81245166098708e-05	3.046822632736e-05	1.40622583049354e-05	2.34370971748923e-05	7.03112915246769e-06	2.10933874574031e-05	1.17185485874462e-05	0	0	1.64059680224246e-05	0	9.37483886995692e-06	9.140467898208e-05	0.000464054524062868	1.17185485874462e-05	1.17185485874462e-05	7.03112915246769e-06	9.37483886995692e-06	3.046822632736e-05	4.45304846322954e-05	0	0	4.68741943497846e-06	0	0	0	0
HEB24034	0.59670162347327	0.0463212753390093	0.00327281738146557	0.00112055033203512	0.00134341361086825	0.12191400594406	0.00205875798138858	0.000520533812099762	0.0205205649817891	0.0190680574582053	0.00052676774996922	0.0989372694417041	0.000317930831342369	0.00022909721670259	0.00019481055842057	0.00052676774996922	0.000819762829833756	0.0249793890429191	0.0298449775500312	0.000244682061376235	0.000154289962269091	0.000179225713746924	0.0256682391774942	5.92224097598531e-05	5.45469563577595e-05	3.11696893472911e-05	0.00249669211671802	4.36375650862076e-05	0	1.4026360206281e-05	2.33772670104683e-05	2.18187825431038e-05	1.09093912715519e-05	1.09093912715519e-05	6.23393786945822e-06	7.79242233682278e-06	0	0	9.35090680418734e-06	0	3.11696893472911e-06	0.000344425067287567	0.00130912695258623	0	0	0	0	2.96112048799266e-05	5.92224097598531e-05	0	0	0	0	0	0	0
